id,code,name_vi,category,calories,protein_g,carbs_g,fat_g
693a821e6b1977ca8d0de215,VPF-000076,Ghẹ hấp,Các món khác,81.0,17.9,0.0,1.1
69511207ea942b05c00be6f8,VPF-000379,Trứng vịt lộn,"Các món trứng, sữa và chế phẩm",82.0,6.1,1.8,5.6
693bbb8798b0f5d49d003fa2,VPF-000177,Rau cải xoong xào tỏi,Các món khác,83.0,5.4,3.6,5.2
693a44c2ebdd3d9d3f078d84,VPF-000034,Canh rau nhút nấu bò,Các món khác,84.0,10.7,1.4,3.9
693b78fb273f8370c302e6c7,VPF-000110,Tôm nướng,Các món khác,86.0,16.8,2.8,0.9
6937d15713aa2130c900ea48,HAP-223027,Bánh trôi,Các loại bánh,87.0,1.5,15.4,2.2
693a2ef1a384a06b580a9d92,VPF-000018,Canh bầu nấu cơm,Các món khác,88.0,5.4,4.6,5.4
693a4669207283d8bc034a25,VPF-000037,Canh trai nấu chua,Các món khác,88.0,8.6,9.5,1.8
69512e266b7ff3090d06f6c5,VPF-000395,Váng sữa Monte,"Các món trứng, sữa và chế phẩm",90.0,1.5,8.3,5.5
693a904631cab0f3540c997b,VPF-000083,Ốc vặn luộc,Các món khác,91.0,15.4,5.4,0.9
693b6dc60a4a309da80601d5,VPF-000096,Thịt lợn nạc vai luộc,Các món khác,92.0,7.1,0.0,7.0
69513399c886f6a4a005003c,VPF-000401,Chuối tiêu,Các loại trái cây,92.0,1.4,21.0,0.2
693bb94341246f6e7403b983,VPF-000172,Rau bí xào tỏi,Các món khác,95.0,6.0,6.4,5.0
693a847f6b1977ca8d0de217,VPF-000080,Mực hấp,Các món khác,95.0,17.0,4.9,0.8
69510a0a0a732dd73903a994,VPF-000376,Trứng gà ngải cứu,"Các món trứng, sữa và chế phẩm",96.0,6.3,0.7,7.5
693a692d797ab343780f1acd,VPF-000058,Thịt lợn sốt cà chua,Các món khác,98.0,7.5,1.1,7.1
69607413fcc710acca040ea3,VPF-000421,Sầu riêng,Các loại trái cây,100.0,1.8,20.7,1.2
693b94c9e38a19d5fb0b5b13,VPF-000152,Tôm đồng rang,Các món khác,103.0,7.4,10.0,3.7
69511a87a0cfb0866108cb78,VPF-000386,Sữa chua có đường Ba Vì,"Các món trứng, sữa và chế phẩm",103.0,2.9,16.2,2.9
693b8ea3b095dbedf70cdec3,VPF-000144,Tôm sốt cà chua,Các món khác,105.0,16.5,3.1,2.9
695114d3c886f6a4a0050035,VPF-000380,Trứng vịt luộc,"Các món trứng, sữa và chế phẩm",105.0,7.4,0.6,8.1
694264b88e8e3bac730deca2,VPF-000204,Gỏi xoài,Các món khác,105.0,1.0,24.0,1.0
693b98bd46f80194f0063727,VPF-000159,Đậu cove xào,Các món khác,107.0,4.0,11.7,5.0
69512a38941487ed4d04dfe6,VPF-000390,Sữa đậu nành,"Các món trứng, sữa và chế phẩm",108.6,3.8,18.4,2.2
69512d8b941487ed4d04dfe7,VPF-000394,Sữa tươi tiệt trùng không đường TH True Milk,"Các món trứng, sữa và chế phẩm",110.0,5.4,8.8,5.9
693a47a248209a2a9a014fe6,VPF-000039,Cá bống kho,Các món khác,110.0,5.6,10.0,5.3
69512be1973d95b08a0bb86c,VPF-000392,Sữa Milo,"Các món trứng, sữa và chế phẩm",110.0,2.8,17.0,3.5
693b809b273f8370c302e6ca,VPF-000122,Chả xương xông,Các món khác,111.0,7.3,0.1,9.0
693a93bb6b1977ca8d0de21a,VPF-000089,"Su hào, cà rốt luộc",Các món khác,112.0,7.2,20.0,0.4
693bbc3e273f8370c302e6d9,VPF-000178,Rau khoai lang xào tỏi,Các món khác,114.0,4.0,6.5,8.0
693a43e057dc35b55101fbf2,VPF-000033,Canh rau ngót nấu thịt,Các món khác,114.0,6.0,1.7,9.3
6937e06f7e4f7ab0d804f004,HAP-213005,Bánh mỳ que 1 cái,Các loại bánh,116.0,5.5,7.4,7.2
693a4b00826fc86cc205b1d4,VPF-000045,Cá thu kho,Các món khác,116.0,13.0,0.3,7.2
693b6d69273f8370c302e6c3,VPF-000095,Thịt lợn ba chỉ luộc,Các món khác,117.0,7.4,0.0,9.7
693a346557a0ea4b4c09cf22,VPF-000023,Canh cá rô đồng nấu rau cải,Các món khác,117.0,9.9,2.7,7.4
69425a5c1dc6dc7891031ea4,VPF-000199,Cá ngừ sống,Các món khác,118.0,19.4,0.0,4.5
6960ccd7201207074504dfe2,VPF-000429,Mít khô,Các loại trái cây,120.0,2.0,22.0,3.0
6937db27bb1269d4c706878f,HAP-223016,Trứng vịt lộn 2 quả,Các món khác,120.9,9.7,6.5,6.2
693bbb2270e3963e6e046fdc,VPF-000176,Rau cải ngồng xào tỏi,Các món khác,122.0,5.8,13.3,5.0
693b6f240a4a309da80601d6,VPF-000099,Tim lợn luộc,Các món khác,125.0,18.8,1.9,4.7
693a9477490971e9e10f03ea,VPF-000090,Tai lợn luộc,Các món khác,126.0,21.0,1.3,4.1
696075a7ad73023b56055f22,VPF-000422,Táo ta,Các loại trái cây,127.0,2.7,27.7,0.7
693a40f6bb10bc44d2078612,VPF-000031,Canh khổ qua (mướp đắng) nhồi thịt,Các món khác,127.0,7.5,7.1,7.7
6951191d11656994ae051674,VPF-000384,Sữa bột tách béo,"Các món trứng, sữa và chế phẩm",130.0,12.6,18.0,0.4
69512b620a732dd73903a996,VPF-000391,Sữa đặc có đường,"Các món trứng, sữa và chế phẩm",134.0,3.2,22.4,3.5
69512ceb7804e760f6074fc3,VPF-000393,Sữa tươi tiệt trùng có đường Vinamilk,"Các món trứng, sữa và chế phẩm",137.0,5.0,14.4,6.3
6951181ebd082241680c0817,VPF-000383,Sữa bò tươi thanh trùng không đường TH True Milk,"Các món trứng, sữa và chế phẩm",138.0,7.0,10.1,7.7
696071567e459184a404f542,VPF-000418,Quả bơ vỏ xanh,Các loại trái cây,138.0,2.6,3.2,12.9
69512980973d95b08a0bb86b,VPF-000389,Sữa dê thanh trùng không đường,"Các món trứng, sữa và chế phẩm",138.0,7.0,4.5,8.2
693a69e731cab0f3540c9979,VPF-000059,Thịt lợn thăn rim,Các món khác,139.0,19.0,0.0,7.0
693bb461e38a19d5fb0b5b19,VPF-000169,Mướp đắng xào trứng,Các món khác,140.0,7.5,5.4,10.0
693a41d848209a2a9a014fe4,VPF-000032,Canh mướp lạc,Các món khác,141.0,6.2,6.7,10.0
693a480c797ab343780f1ac9,VPF-000040,Cá chày kho,Các món khác,147.0,26.6,0.4,4.7
693bb3dcd9cc69df4d027c93,VPF-000168,Mực xào thập cẩm,Các món khác,154.0,11.3,13.3,6.2
693a3f6f48209a2a9a014fe3,VPF-000029,"Canh đu đủ xanh, thịt nạc",Các món khác,155.0,16.7,9.3,5.6
6942320bc9271bbdd4040156,VPF-000188,Thịt bò xào măng,Món xào,158.0,24.2,7.0,3.7
69364876f6722f52330e1d04,HAP-211096,Ốc mít luộc mắm,"Ngao, ốc",158.3,17.6,19.3,1.2
693a496febdd3d9d3f078d86,VPF-000042,Cá Ngừ kho dứa,Các món khác,159.0,36.4,2.2,0.5
693a7148bbf12bb71c04c448,VPF-000067,Dạ dày luộc,Các món khác,159.0,27.4,0.0,5.4
6960cc5ed2dcbbc0bc0f7c12,VPF-000428,Chuối khô,Các loại trái cây,161.0,0.5,0.0,0.0
69422ddec9271bbdd4040155,VPF-000184,Thịt bò xào đậu cove,Món xào,162.0,14.5,13.3,5.7
693b7331ea9405781d07da75,VPF-000106,Sò huyết nướng mỡ hành,Các món khác,169.0,3.4,3.4,15.8
6937d62829b646f3640c1051,HAP-223020,Giò lợn,Các món khác,170.7,27.1,0.0,6.9
695119ca7804e760f6074fc2,VPF-000385,Sữa bột toàn phần,"Các món trứng, sữa và chế phẩm",171.0,6.8,17.4,8.2
693bb296e38a19d5fb0b5b18,VPF-000166,Mực xào dưa,Các món khác,175.0,85.0,4.1,11.1
693a31aa943c339995010562,VPF-000020,Canh bí đỏ thịt nạt,Các món khác,176.0,10.3,14.0,8.7
694225325dc1df46230e86a2,VPF-000179,Rau muống xào,Món xào,177.0,10.2,4.5,11.2
6937dec0f6722f52330e1d17,HAP-213012,Bánh mỳ chả cá sốt cay,Các loại bánh,177.5,7.5,25.8,4.9
695116f1bd082241680c0816,VPF-000382,Sữa bò tươi thanh trùng có đường Mộc Châu,"Các món trứng, sữa và chế phẩm",178.0,6.8,20.9,7.7
694524cacd788cb7ad036fb4,VPF-000213,Salad rau củ,Các món khác,181.0,2.0,8.0,16.0
69423316dcd46a3f1606db36,VPF-000189,Thịt bò xào nấm,Món xào,182.0,22.5,3.9,8.5
693a6f47490971e9e10f03e3,VPF-000065,Cua biển hấp,Các món khác,186.0,22.3,18.4,2.6
693b6fa3253a0d6b980c8bb9,VPF-000100,Tôm biển hấp,Các món khác,189.0,40.5,2.1,2.1
693a7bf135311d4db10b1423,VPF-000072,Đậu phụ luộc,Các món khác,190.0,21.8,1.4,10.8
693a8fb135311d4db10b1425,VPF-000082,Ốc nhồi hấp,Các món khác,191.0,19.9,18.1,4.3
693b97b87cbe6000eb0a8b73,VPF-000158,Củ cải xào trứng,Các món khác,193.0,10.4,8.3,13.1
693a4ce78305c9f85f077662,VPF-000048,Đậu phụ kho nấm,Các món khác,194.0,22.1,6.4,9.0
693bb0f6c479e4ebac0ae792,VPF-000163,"Lòng gà xào mướp, giá",Các món khác,196.0,16.5,9.1,10.5
6937d67829b646f3640c1052,HAP-221036,Hạt dẻ nướng,Các món khác,196.7,3.7,43.3,1.0
69424e6ecd3515c0b10daaf2,VPF-000190,Thịt bò xào su su,Món xào,203.0,21.9,4.2,10.9
693bb34fd9cc69df4d027c92,VPF-000167,Mực xào dứa,Các món khác,203.0,14.5,11.1,11.1
693b9a6998b0f5d49d003f9e,VPF-000160,Ếch xào măng,Các món khác,203.0,23.6,2.0,11.2
693b6c940a4a309da80601d4,VPF-000093,Thịt chân giò luộc,Các món khác,216.0,15.7,0.0,17.0
69422c7a22165763100a03b2,VPF-000182,Thịt bò xào cần tỏi,Món xào,216.0,23.0,6.6,11.0
693bba4570e3963e6e046fda,VPF-000174,Rau cải chíp xào nấm,Các món khác,216.0,14.3,13.6,11.7
693b74e2c5b06f2f1b0b0864,VPF-000109,Thịt lợn xiên nướng,Các món khác,222.0,27.6,5.1,10.0
6942572bf62ed02e7c0ddc12,VPF-000196,Bò cuốn lá cải,Các món khác,222.0,19.7,28.9,3.1
693b9388273f8370c302e6d1,VPF-000149,Nhộng rang lá chanh,Các món khác,223.0,18.7,1.2,15.9
693b930623744a932d08a862,VPF-000148,Cua đồng rang,Các món khác,224.0,15.6,3.1,16.6
693a3ba401624ed1be010406,VPF-000027,"Canh đậu, thịt, cà chua",Các món khác,228.0,26.4,4.5,11.6
694523920b71bfaa900db5c3,VPF-000211,Nộm rau muống,Các món khác,230.0,10.8,7.7,15.9
6936708df6722f52330e1d0b,HAP-213066,Nộm bò khô,Các món khác,239.7,14.6,23.0,9.8
693bb175273f8370c302e6d6,VPF-000164,Lòng xào dưa,Các món khác,240.0,6.6,3.7,22.1
6942529422165763100a03b9,VPF-000193,Thịt gà xào sả,Món xào,241.0,23.2,0.0,16.4
6937dead88cc248efa0a9e0e,HAP-211058,Bánh mỳ cay 5 cái,Các loại bánh,241.4,7.7,34.9,7.9
693b726e0a4a309da80601d9,VPF-000105,Gà nướng,Các món khác,242.0,14.2,1.9,19.5
693a7ad3bbf12bb71c04c449,VPF-000070,Đậu đũa luộc,Các món khác,243.0,24.0,33.2,1.6
693b9d29e38a19d5fb0b5b17,VPF-000162,Khoai tây xào,Các món khác,246.0,3.9,39.8,9.1
693b946fa9c4f06614065e79,VPF-000151,Tôm biển rang,Các món khác,247.0,35.2,6.8,8.8
693a488457a0ea4b4c09cf27,VPF-000041,Cá Diếc kho,Các món khác,247.0,26.2,5.0,13.6
6937dacebb1269d4c706878e,HAP-223018,Thịt xiên nướng 6 cái,Các món khác,247.7,15.5,1.2,20.1
693b816f1cfbda32200dbff7,VPF-000123,Đậu phụ nhồi thịt sốt cà chua,Các món khác,248.0,20.0,0.9,17.6
693a681731cab0f3540c9978,VPF-000056,Thịt lợn ba chỉ kho tàu,Các món khác,260.0,16.5,0.0,21.5
6937d8c6357a508a7b0e4144,HAP-221028,Ngô nướng,Các món khác,265.6,5.4,54.1,3.1
69422f7f5dc1df46230e86a5,VPF-000186,Thịt bò xào hoa thiên lý,Món xào,270.0,27.1,9.5,13.7
693a7a49880fbb60670eddc5,VPF-000069,Dồi lợn luộc,Các món khác,274.0,29.8,0.0,17.0
69379725f6722f52330e1d0f,HAP-211114,Sủi dìn,Các món khác,274.8,4.8,49.3,6.5
69422d2b2e594eb2af0b85a2,VPF-000183,Thịt bò xào dứa,Món xào,275.0,24.8,19.3,11.0
693b701bc5b06f2f1b0b0863,VPF-000101,Bê nướng,Các món khác,277.0,60.5,4.2,2.0
69422ea522165763100a03b3,VPF-000185,"Thịt bò xào hành tây, cà chua",Món xào,281.0,23.7,14.8,14.1
693a63fe6b1977ca8d0de212,VPF-000050,Gà Tần thuốc bắc,Các món khác,283.0,28.7,4.2,16.8
6942505b22165763100a03b8,VPF-000192,Thịt trâu xào rau muống,Món xào,283.0,30.6,2.1,14.9
6937e203f6722f52330e1d1e,HAP-213053,Cuốn bỗng 8 cái,Các loại bánh,284.6,25.2,31.1,6.6
69422b7e5dc1df46230e86a3,VPF-000181,Sườn xào chua ngọt,Món xào,289.0,17.3,18.8,16.0
693a26830c92aa7baa0c2192,VPF-000008,Cơm hến,Cơm các loại,291.0,18.0,40.1,6.3
693a3258a384a06b580a9d94,VPF-000021,Canh cá lóc (Các quả) nấu chua,Các món khác,294.0,34.6,5.6,14.8
693a4bb9797ab343780f1aca,VPF-000046,Cá Trạch kho,Các món khác,298.0,31.2,21.5,10.0
69452233396fdfd8c109b2f3,VPF-000209,Nem tai,Các món khác,300.0,28.3,18.8,7.5
6937d8764f0ce7be9c0e1e64,HAP-221027,Ngô luộc,Các món khác,301.4,6.8,59.8,3.9
6937d76bbb1269d4c706878d,HAP-223026,Lòng lợn luộc,Các món khác,303.8,33.3,6.6,16.0
69367132f6722f52330e1d0c,HAP-211093,Phá lấu,Các món khác,305.9,21.6,41.3,6.1
69364b16f6722f52330e1d07,HAP-211098,Dồi sụn nướng,Các món khác,307.1,23.6,3.2,22.2
69364dedf6722f52330e1d08,HAP-211012,Giá bể xào,Các món khác,308.7,39.0,31.1,3.2
693a6b474ea1d831f4000fb4,VPF-000061,Thịt mông sấn kho cùi dừa,Các món khác,309.0,14.4,4.5,25.9
69364e4df6722f52330e1d09,HAP-213015,Lòng dồi sụn,Các món khác,309.3,34.0,14.9,12.7
693a45db31cab0f3540c9974,VPF-000036,"Canh sườn khoai tây, cà rốt",Các món khác,316.0,19.1,35.1,11.0
693b8281273f8370c302e6cc,VPF-000125,Đậu phụ sốt cà chua,Các món khác,320.0,20.0,4.2,24.8
693b95ed70e3963e6e046fd7,VPF-000154,Bê xào sả ớt,Các món khác,335.0,36.7,9.4,16.7
693a25be59d546807301b0c2,VPF-000007,Cơm nắm,Cơm các loại,336.0,8.7,62.2,5.7
6937df66f6722f52330e1d1a,HAP-211073,Bánh mỳ thịt xiên mật ong,Các loại bánh,336.3,14.3,26.8,19.1
694254fe9a6e03f9e8042773,VPF-000194,Tim bầu dục xào cần tỏi,Món xào,339.0,28.4,22.4,15.2
693bb1d6273f8370c302e6d7,VPF-000165,Lươn xào sả ớt,Các món khác,358.0,27.7,0.0,27.5
693b71f4273f8370c302e6c5,VPF-000104,Chim câu nướng,Các món khác,363.0,18.3,4.7,30.1
693b9b96e38a19d5fb0b5b16,VPF-000161,Gan xào giá,Các món khác,370.0,48.9,18.1,11.3
693a3a480c92aa7baa0c2199,VPF-000026,Canh chân giò nấu măng,Các món khác,370.0,19.6,3.9,30.8
6937d54b29b646f3640c1050,HAP-223013,Bỏng ngô,Các món khác,370.2,8.3,80.8,1.5
693a7d7507842c589d0a6c94,VPF-000074,Gan lợn luộc,Các món khác,371.0,60.2,6.4,11.5
69364abdf6722f52330e1d06,HAP-211068,Chim cút quay lá mắc mật (4 con),Các món khác,373.7,61.0,3.4,12.9
694520710b71bfaa900db5c2,VPF-000208,Nem lụi,Các món khác,382.0,22.2,16.7,25.2
693a3fff826fc86cc205b1d2,VPF-000030,"Canh khoai sọ nấu xương, rau rút",Các món khác,384.0,13.5,54.5,12.4
693b71630a4a309da80601d8,VPF-000103,Cá trê nướng,Các món khác,396.0,47.0,0.4,22.9
6937e07bf6722f52330e1d1c,HAP-213011,Bánh mỳ sốt trứng cút,Các loại bánh,401.0,24.9,37.9,16.3
693a358901624ed1be010405,VPF-000024,Canh cà tím nấu bung,Các món khác,408.0,18.7,9.1,33.0
693a3e515ec5d66acf01cac3,VPF-000028,Canh đậu trắng nấu xương lợn,Các món khác,410.0,28.0,54.9,8.6
693a6787bbf12bb71c04c445,VPF-000055,Thịt chân giò nấu đông,Các món khác,419.0,25.6,5.7,32.8
687869e01767a9925a0e7d76,HAP-213025,Bánh đa cua,"Bánh đa, bún, phở",420.6,20.8,63.8,9.1
6936490df6722f52330e1d05,HAP-213044,Ốc mỡ xào ngô,"Ngao, ốc",420.9,42.1,39.1,10.7
693a6630362b4f090c0e4c42,VPF-000053,Thịt bò kho,Các món khác,421.0,36.0,0.0,31.0
694258641dc6dc7891031ea2,VPF-000197,Bò xíu mại,Các món khác,423.0,33.0,7.0,0.0
693b70e498b0f5d49d003f93,VPF-000102,Bò nướng,Các món khác,428.0,67.8,10.8,12.7
6937df9ff6722f52330e1d1b,HAP-211094,Bánh mỳ nướng muối ớt,Các loại bánh,428.9,16.2,46.4,19.8
693a635548209a2a9a014fe8,VPF-000049,Đậu phụ kho thịt,Các món khác,452.0,30.8,2.0,35.9
694230b89a6e03f9e8042772,VPF-000187,Thịt bò xào lúc lắc,Món canh,469.0,47.3,28.7,18.3
6937d08dbb1269d4c706878c,HAP-223031,Bánh tiêu,Các loại bánh,469.5,6.7,47.9,27.9
68786acb1767a9925a0e7d78,HAP-213019,Bún mắm,"Bánh đa, bún, phở",471.8,22.5,59.3,16.1
693b73e20bd58d1fcf065e45,VPF-000107,Thịt lợn ba chỉ quay,Các món khác,473.0,30.0,1.1,38.7
693a689648209a2a9a014fea,VPF-000057,Thịt lợn ba chỉ kho trứng cút,Các món khác,473.0,26.3,10.1,36.3
6937dda97e4f7ab0d804f002,HAP-211107,Bánh giò,Các loại bánh,473.9,28.4,52.7,16.6
693646d8f6722f52330e1d02,HAP-213045,Ốc bông xào me,"Ngao, ốc",488.7,38.6,30.1,23.8
693a816b880fbb60670eddc8,VPF-000075,Gà xé phay,Các món khác,496.0,35.9,44.1,19.7
6937e16d88cc248efa0a9e10,HAP-213024,Bánh mỳ bò sốt vang,Các loại bánh,501.0,55.0,68.7,0.7
693a7a0335311d4db10b1422,VPF-000068,Dê tái chanh,Các món khác,501.0,73.7,12.2,17.3
6945242ede4937594700ba32,VPF-000212,Nộm tai heo thập cẩm,Các món khác,505.0,44.0,27.0,25.0
6937d18a13aa2130c900ea49,HAP-223017,Bánh xiên quẩy đường,Các loại bánh,513.0,13.9,73.8,18.0
693b6bd90a4a309da80601d2,VPF-000091,Thịt bê hấp,Các món khác,514.0,67.2,2.1,26.3
6937da5ee8ba4488430222d8,HAP-223024,Thịt lợn quay,Các món khác,529.9,81.1,3.4,21.3
693a651cbbf12bb71c04c443,VPF-000051,Lươn om chuối đậu,Các món khác,530.0,33.3,24.2,33.3
68786a551767a9925a0e7d77,HAP-213069,Bánh đa ngan,"Bánh đa, bún, phở",534.1,22.0,55.8,24.2
6878659771a225b7e7002772,HAP-211055,Bánh đa bò nhừ,"Bánh đa, bún, phở",545.6,51.5,71.5,5.9
693a83d7490971e9e10f03e7,VPF-000079,Lưỡi lợn luộc,Các món khác,550.0,40.8,0.0,43.0
68786b47f893e608560f5d86,HAP-211011,Bún bò dấm,"Bánh đa, bún, phở",553.8,32.5,86.7,8.5
693a49de48209a2a9a014fe7,VPF-000043,Cá Nục kho,Các món khác,565.0,71.0,10.0,27.0
6936466df6722f52330e1d01,HAP-211015,Ốc bông xào bơ trứng mặn,"Ngao, ốc",575.5,19.9,32.4,40.7
693b6cfeea9405781d07da73,VPF-000094,Thịt gà luộc,Các món khác,577.0,58.9,0.0,38.0
693a32ff01624ed1be010404,VPF-000022,Canh cá mè nấu chuối,Các món khác,588.0,31.7,17.6,43.3
693a65a7bb10bc44d2078618,VPF-000052,Ốc om chuối đậu,Các món khác,600.0,37.0,21.0,41.3
694522f0396fdfd8c109b2f4,VPF-000210,Nộm hoa chuối thịt gà,Các món khác,604.0,34.1,50.1,29.3
69366f80f6722f52330e1d0a,HAP-211039,Nem Thính,Các món khác,612.3,44.8,51.7,25.2
69426162c9271bbdd4040159,VPF-000203,Gỏi ngó sen,Các món khác,615.0,35.8,42.4,33.8
69425639c9271bbdd4040157,VPF-000195,Bánh đa cuốn thập cẩm,Các món khác,615.0,42.0,43.2,30.2
693a2a2959d546807301b0c4,VPF-000013,Cơm sườn,Cơm các loại,616.0,24.5,93.0,16.2
693a27498bbe5e3730065343,VPF-000009,Cơm rang thập cẩm,Cơm các loại,623.0,19.9,86.6,21.9
693a28f0797ab343780f1ac2,VPF-000011,"Cơm suất văn phòng (Thịt nạc vai, su hào)",Cơm các loại,650.0,25.1,94.9,18.9
6937bd85f6722f52330e1d10,HAP-211109,Vịt rang me,Các món khác,656.2,33.7,9.5,53.7
693a2989797ab343780f1ac3,VPF-000012,"Cơm suất văn phòng (Thịt ba chỉ, đậu phụ)",Cơm các loại,682.0,26.0,90.0,24.0
6937e1f64f0ce7be9c0e1e68,HAP-213023,Bì bò,Các loại bánh,684.1,55.2,87.0,12.8
69424f3222165763100a03b6,VPF-000191,Thịt chim câu xào răm,Món xào,688.0,31.1,2.4,61.6
6937defef6722f52330e1d18,HAP-211072,Bánh mỳ chảo,Các loại bánh,702.7,33.0,80.1,0.0
6937df34f6722f52330e1d19,HAP-211044,Bánh mỳ chảo sốt ngọt,Các loại bánh,713.6,24.8,85.6,30.2
6937de5088cc248efa0a9e0d,HAP-211020,Bánh mỳ cay,Các loại bánh,751.9,24.1,83.9,35.6
693a27f059d546807301b0c3,VPF-000010,"Cơm suất văn phòng (Thịt nạc vai, đậu phụ)",Cơm các loại,759.0,29.9,100.7,26.3
693b93faa9c4f06614065e78,VPF-000150,Thịt lợn ba chỉ rang cháy cạnh,Các món khác,798.0,50.0,5.0,65.0
693a6a94bbf12bb71c04c446,VPF-000060,Thịt mông sấn kho củ cải,Các món khác,861.0,51.2,12.4,67.2
